DEPTH (m),O2 (mg/L)
21,1.48104918
21,1.21471542
21,1.0509951
21,0.96398265
20.9,3.14704035
20.8,3.78884274
20.8,2.53481859
20.8,2.19768588
20.8,2.08822674
20.8,2.20622499
20.8,2.08999221
20.8,1.66318083
20.8,0.9468684
20.7,3.69570519
20.7,2.78374986
20.7,2.2648458
20.7,2.17246488
20.7,1.73624967
20.7,0.8805732
20.7,1.25189838
20.7,1.49117361
20.6,3.81337917
20.6,1.04609502
20.6,1.13083758
20.6,1.376346
20.6,1.54078692
20.6,1.90306857
20.5,1.30770885
20.5,1.43139984
20.5,1.59760623
20.4,3.83348391
20.4,2.33604108
20.4,2.10191814
20.4,1.90973412
20.4,0.89992131
20.4,1.18819734
20.4,1.70047188
20.4,1.73239446
20.4,1.80265296
20.3,1.86772314
20.2,1.65492996
20.2,1.83637704
20.2,1.93308156
20.1,1.76392071
20,3.87560298
20,3.86688372
20,1.96341882
19.9,3.85153494
19.9,1.9982238
19.8,3.88237662
19.7,3.88558329
19.7,2.02715589
19.7,2.08728996
19.6,2.05756521
19.5,2.11654632
19.5,2.14587474
19.5,3.74647146
19.4,3.88860981
19.4,3.7377522
19.3,2.17145604
19.3,2.20028004
19.3,2.22748269
19.3,3.79835466
19.3,3.78916701
19.3,3.76920639
19.3,3.76034301
19.3,3.74445378
19.3,3.7413552
19.3,3.73097856
19.3,3.72824028
19.3,3.7265829
19.3,3.72175488
19.3,3.71804379
19.2,3.78196101
19.2,3.74938989
19.2,3.73404111
19.2,3.71890851
19.2,3.71465697
19.2,3.71390034
19.2,3.71512536
19.1,3.88922232
19.1,3.89059146
19.1,3.7748631
19.1,3.76592766
19.1,3.75371349
19.1,3.75374952
19.1,3.72402477
19.1,3.72002544
19,3.8094519
19,3.80166942
19,3.75710031
18.9,2.25144264
18.9,2.27734821
18.9,3.80429961
18.9,3.7157739
18.8,2.30401041
18.8,2.32998804
18.8,3.82177416
18.8,3.79421121
18.8,3.71544963
18.8,3.71707098
18.7,3.88846569
18.7,3.88742082
18.6,3.88724067
18.6,3.88774509
18.6,2.35567743
18.6,2.385186
18.6,3.83139417
18.6,3.82797132
18.6,3.82080135
18.6,3.81532479
18.6,3.80761437
18.6,3.72193503
18.5,3.83283537
18.5,3.82462053
18.4,3.88716861
18.4,2.44146486
18.4,3.83402436
18.4,3.82616982
18.4,3.81283872
18.4,3.73105062
18.3,2.41343352
18.3,3.83737515
18.2,2.49071787
18.2,3.8339523
18.2,3.8346729
18.2,3.83276331
18.2,3.8314302
18.2,3.83016915
18.2,3.81813513
18.2,3.72593436
18.1,2.46556893
18.1,3.83654646
18.1,3.83218683
18,3.88471857
18,3.8854752
18,2.52768465
18,3.84144654
18,3.84072594
18,3.83708691
18,3.8346729
18,3.83409642
17.9,3.88356561
17.8,3.83906856
17.8,3.84090609
17.8,3.84090609
17.8,3.83989725
17.8,3.73699557
17.8,3.74265228
17.7,3.83769942
17.6,2.511291
17.6,2.54508714
17.6,3.83442069
17.6,3.83809575
17.6,3.8411583
17.5,3.88482666
17.5,3.88399797
17.5,2.55910281
17.5,3.8303493
17.5,3.83687073
17.5,3.74560674
17.4,3.88273692
17.4,3.83222286
17.3,2.57113683
17.3,2.58990846
17.3,3.82732278
17.3,3.83020518
17.2,3.88558329
17.2,3.8213418
17.2,3.82447641
17.1,3.88313325
17.1,3.82076532
17.1,3.82332345
17.1,3.82321536
17,3.82660218
17,3.82090944
17,3.8202609
16.9,3.89181648
16.9,3.8869164
16.9,2.60291529
16.9,2.61498534
16.9,3.82155798
16.9,3.7500024
16.9,3.75335319
16.7,3.82970076
16.7,3.82526907
16.7,3.82303521
16.7,3.74776854
16.7,3.75724443
16.6,3.8231433
16.5,3.82757499
16.5,3.81201003
16.4,3.90806601
16.4,3.8292684
16.4,3.80804673
16.4,3.8072901
16.4,3.80469594
16.3,2.62507374
16.3,3.83211477
16.3,3.81788292
16.3,3.81244239
16.3,3.80714598
16.2,3.89819379
16.2,2.63606289
16.2,3.86364102
16.2,3.84490542
16.2,3.83362803
16.2,3.75933417
16.2,3.8281875
16.2,3.81939618
16.2,3.81554097
16.2,3.81402771
16.2,3.80937984
16.2,3.80206575
16.2,3.78365442
16.1,3.95483295
16.1,3.92827884
16.1,3.91743381
16.1,3.84922902
16.1,3.84101418
16.1,3.83596998
16.1,3.84241935
16.1,3.83391627
16.1,3.8303493
16.1,3.8249448
16.1,3.80311062
16.1,3.80336283
16.1,3.80350695
16,3.76697253
16,3.83960901
16,3.83694279
16,3.80397534
16,3.80163339
16,3.78372648
16,3.78556401
16,3.78376251
16,3.78462723
16,3.78599637
15.9,3.96964128
15.9,3.93836724
15.9,3.85348056
15.9,3.76466661
15.9,3.82325139
15.9,3.80109294
15.9,3.78682506
15.9,3.78596034
15.9,3.78498753
15.9,3.78527577
15.8,3.88443033
15.8,3.85776813
15.8,3.83838399
15.8,3.80480403
15.8,3.79212147
15.8,3.79262589
15.8,3.78801405
15.8,3.78808611
15.8,3.78671697
15.8,3.78660888
15.8,3.78523974
15.8,3.78397869
15.8,3.78581622
15.8,3.78448311
15.8,3.78480738
15.7,3.869622
15.7,3.84710325
15.7,3.80026425
15.7,3.81766674
15.7,3.78433899
15.6,2.64780867
15.6,3.91224549
15.6,3.87653976
15.6,3.87045069
15.6,3.8508864
15.6,3.80030028
15.6,3.80084073
15.6,3.81395565
15.6,3.80159736
15.6,3.79903923
15.6,3.78441105
15.6,3.78538386
15.5,4.02534366
15.5,4.00711248
15.5,3.89235693
15.5,3.87697212
15.5,3.92899944
15.5,3.86288439
15.5,3.84948123
15.5,3.83168241
15.5,3.81781086
15.5,3.81575715
15.5,3.78779787
15.4,4.04451162
15.4,3.9878004
15.4,2.66686854
15.4,3.90165267
15.4,3.76895418
15.4,3.91905516
15.4,3.90705717
15.4,3.85639899
15.4,3.80048043
15.4,3.8674602
15.4,3.82004472
15.4,3.82101753
15.4,3.81139752
15.4,3.80876733
15.4,3.79640904
15.4,3.78549195
15.4,3.7853118
15.4,3.78563607
15.3,2.6881983
15.3,3.93422379
15.3,3.93811503
15.3,3.89668053
15.3,3.80051646
15.3,3.88868187
15.3,3.82627791
15.3,3.81600936
15.3,3.81885573
15.2,3.97529799
15.2,3.94755489
15.2,3.92193756
15.2,3.77183658
15.2,3.77493516
15.2,3.88529505
15.2,3.87419781
15.1,3.92420745
15.1,3.91772205
15.1,3.9088947
15.1,3.99017838
15.1,3.92903547
15.1,3.9438438
15.1,3.80048043
15.1,3.80516433
15.1,3.80808276
15.1,3.81186591
15.1,3.81370344
15.1,3.86050641
15.1,3.8534085
15.1,3.84371643
15.1,3.81838734
15.1,3.78754566
15,3.97868481
15,3.95713887
15,3.93134139
15,4.06447224
15,4.00480656
15,3.91876692
15,3.92705382
15,3.93649368
15,3.88230456
15,3.87744051
15,3.83661852
14.9,3.94719459
14.9,3.93890769
14.9,3.91267785
14.9,3.90586818
